Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,351.25,354.0,350.5,353.25,353.25,150143
2018-01-03,353.0,354.75,352.25,353.0,353.0,138593
2018-01-04,353.0,353.5,350.25,351.0,351.0,179965
2018-01-05,350.75,352.25,350.25,351.25,351.25,143914
2018-01-08,350.75,351.5,346.75,347.25,347.25,274879
2018-01-09,347.5,350.0,347.25,349.0,349.0,150408
2018-01-10,348.75,350.0,348.0,349.0,349.0,145554
2018-01-11,349.0,350.5,348.0,348.75,348.75,159177
2018-01-12,348.75,350.0,345.5,346.25,346.25,216386
2018-01-16,347.25,349.25,346.0,348.25,348.25,179429
2018-01-17,348.5,353.25,348.25,353.0,353.0,236713
2018-01-18,352.5,354.0,350.5,351.5,351.5,186650
2018-01-19,351.5,354.0,351.25,352.5,352.5,145953
2018-01-22,353.5,354.5,351.25,352.0,352.0,177588
2018-01-23,351.75,352.0,349.5,351.25,351.25,204570
2018-01-24,351.25,357.0,349.75,356.5,356.5,326298
2018-01-25,356.0,358.0,354.5,355.25,355.25,223613
2018-01-26,355.0,357.0,354.5,356.5,356.5,140790
2018-01-29,356.75,359.25,356.75,358.75,358.75,179933
2018-01-30,359.5,362.25,359.0,361.5,361.5,223192
2018-01-31,361.5,362.0,359.5,361.5,361.5,180487
2018-02-01,360.75,362.0,358.5,361.75,361.75,254881
2018-02-02,361.0,362.5,359.5,361.5,361.5,198988
2018-02-05,359.5,360.75,357.25,358.75,358.75,260346
2018-02-06,358.75,364.0,356.25,363.5,363.5,236192
2018-02-07,363.75,365.75,362.5,365.25,365.25,478330
2018-02-08,365.0,367.75,364.5,365.75,365.75,341483
2018-02-09,364.75,365.5,361.5,362.0,362.0,254699
2018-02-12,365.0,367.0,364.25,367.0,367.0,264077
2018-02-13,366.5,368.5,366.0,366.75,366.75,257669
2018-02-14,366.5,368.5,364.75,367.25,367.25,173640
2018-02-15,367.0,368.75,365.5,367.75,367.75,193482
2018-02-16,368.0,368.5,366.5,367.5,367.5,185255
2018-02-20,369.0,370.0,365.25,365.5,365.5,319315
2018-02-21,365.75,368.5,364.25,365.75,365.75,266655
2018-02-22,365.5,367.0,364.25,366.75,366.75,229122
2018-02-23,366.25,367.75,365.25,366.25,366.25,229122
2018-02-26,366.5,370.0,366.5,368.5,368.5,318905
2018-02-27,368.25,371.0,367.75,370.5,370.5,240115
2018-02-28,370.5,376.75,369.75,374.5,374.5,20800
2018-03-01,374.0,379.0,372.0,378.75,378.75,8646
2018-03-02,377.75,380.25,376.0,377.25,377.25,5918
2018-03-05,376.25,378.5,374.75,378.25,378.25,8183
2018-03-06,377.75,380.25,377.25,379.75,379.75,2299
2018-03-07,378.75,380.75,378.5,379.25,379.25,4263
2018-03-08,378.5,385.75,378.0,385.75,385.75,2385
2018-03-09,385.0,385.25,382.5,383.0,383.0,2981
2018-03-12,382.75,384.25,380.5,384.25,384.25,1455
2018-03-13,383.75,388.75,383.5,385.5,385.5,2044
2018-03-14,386.5,386.5,383.5,383.5,383.5,184323
